1.200000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.800000000000000266e-01,2.726999999999999980e-01,7.500000000000000000e-01,1.642000000000000126e-01
1.200000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,2.800000000000000266e-01,2.726999999999999980e-01,8.100000000000000533e-01,1.642000000000000126e-01
1.200000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.999999999999999889e-01,2.878999999999999893e-01,7.500000000000000000e-01,1.939999999999999780e-01
1.200000000000000000e+01,9.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.999999999999999889e-01,3.029999999999999916e-01,8.100000000000000533e-01,1.343000000000000027e-01
1.200000000000000000e+01,1.000000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.200000000000000067e-01,3.181999999999999829e-01,7.600000000000000089e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.100000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.200000000000000067e-01,3.181999999999999829e-01,7.600000000000000089e-01,1.939999999999999780e-01
1.200000000000000000e+01,1.200000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.400000000000000244e-01,3.332999999999999852e-01,7.099999999999999645e-01,1.939999999999999780e-01
1.200000000000000000e+01,1.300000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,6.600000000000000311e-01,1.343000000000000027e-01
1.200000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,7.099999999999999645e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.500000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,7.099999999999999645e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.600000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,7.600000000000000089e-01,1.343000000000000027e-01
1.200000000000000000e+01,1.700000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,6.600000000000000311e-01,0.000000000000000000e+00
1.200000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,7.099999999999999645e-01,1.044999999999999957e-01
1.200000000000000000e+01,1.900000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,7.600000000000000089e-01,0.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,7.600000000000000089e-01,1.044999999999999957e-01
1.200000000000000000e+01,2.100000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,1.044999999999999957e-01
1.200000000000000000e+01,2.200000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,8.959999999999999909e-02
1.200000000000000000e+01,2.300000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,8.959999999999999909e-02
1.200000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,8.959999999999999909e-02
1.200000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,9.300000000000000488e-01,1.343000000000000027e-01
1.200000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,9.300000000000000488e-01,1.343000000000000027e-01
1.200000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,1.044999999999999957e-01
1.200000000000000000e+01,4.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.788000000000000256e-01,9.300000000000000488e-01,0.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,1.044999999999999957e-01
1.200000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,1.044999999999999957e-01
1.200000000000000000e+01,7.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,1.000000000000000000e+00,8.959999999999999909e-02
1.200000000000000000e+01,8.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,8.959999999999999909e-02
1.200000000000000000e+01,9.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.343000000000000027e-01
1.200000000000000000e+01,1.100000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.044999999999999957e-01
1.200000000000000000e+01,1.200000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,2.238999999999999879e-01
1.200000000000000000e+01,1.300000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.400000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,2.836000000000000187e-01
1.200000000000000000e+01,1.500000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,4.199999999999999845e-01,4.242000000000000215e-01,8.199999999999999512e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.600000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,4.199999999999999845e-01,4.242000000000000215e-01,8.199999999999999512e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.700000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,8.699999999999999956e-01,1.343000000000000027e-01
1.200000000000000000e+01,1.800000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.044999999999999957e-01
1.200000000000000000e+01,1.900000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,0.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.788000000000000256e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.100000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.788000000000000256e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.200000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,1.044999999999999957e-01
1.200000000000000000e+01,2.300000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,9.399999999999999467e-01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.343000000000000027e-01
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.044999999999999957e-01
1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.044999999999999957e-01
1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.044999999999999957e-01
1.200000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,9.399999999999999467e-01,1.044999999999999957e-01
1.200000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.044999999999999957e-01
1.200000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,9.399999999999999467e-01,1.044999999999999957e-01
1.200000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,2.238999999999999879e-01
1.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,1.642000000000000126e-01
1.200000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,2.536999999999999811e-01
1.200000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,2.836000000000000187e-01
1.200000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.699999999999999956e-01,2.984999999999999876e-01
1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,4.091000000000000192e-01,8.199999999999999512e-01,2.984999999999999876e-01
1.200000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,8.699999999999999956e-01,2.836000000000000187e-01
1.200000000000000000e+01,1.400000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,8.699999999999999956e-01,1.939999999999999780e-01
1.200000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,9.300000000000000488e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,9.300000000000000488e-01,1.642000000000000126e-01
1.200000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.484999999999999765e-01,9.300000000000000488e-01,1.343000000000000027e-01
1.200000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,8.959999999999999909e-02
1.200000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,8.959999999999999909e-02
1.200000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,1.000000000000000000e+00,8.959999999999999909e-02
1.200000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,1.000000000000000000e+00,1.044999999999999957e-01
1.200000000000000000e+01,2.200000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,9.300000000000000488e-01,1.044999999999999957e-01
1.200000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,1.000000000000000000e+00,8.959999999999999909e-02
1.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.599999999999999867e-01,3.635999999999999788e-01,1.000000000000000000e+00,8.959999999999999909e-02
1.200000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.599999999999999867e-01,3.788000000000000256e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,1.044999999999999957e-01
1.200000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,1.044999999999999957e-01
1.200000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,1.044999999999999957e-01
1.200000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,1.044999999999999957e-01
1.200000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,1.642000000000000126e-01
1.200000000000000000e+01,7.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000044e-01,3.938999999999999724e-01,9.399999999999999467e-01,2.536999999999999811e-01
1.200000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.199999999999999845e-01,4.242000000000000215e-01,1.000000000000000000e+00,2.536999999999999811e-01
1.200000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.199999999999999845e-01,4.242000000000000215e-01,1.000000000000000000e+00,2.238999999999999879e-01
1.200000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,4.400000000000000022e-01,4.394000000000000128e-01,9.399999999999999467e-01,2.238999999999999879e-01
1.200000000000000000e+01,1.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,4.600000000000000200e-01,4.545000000000000151e-01,9.399999999999999467e-01,2.238999999999999879e-01
1.200000000000000000e+01,1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,4.400000000000000022e-01,4.394000000000000128e-01,1.000000000000000000e+00,2.238999999999999879e-01
